what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1463154546343
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1463154546344
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1463154546344
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1463154591569
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1463154591596
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1463154591611
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154593880
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154635359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154636870
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154716525
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154718044
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154741028
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154744736
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154746191
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1463154746226
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154748348
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154762336
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1463154762357
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1463154762695
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1463154762726
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1463154762733
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1463154763156
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1463154764416
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1463154764416
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1463154769632
